Product_Image_URL,Product_Name,Product_Price,Product_Old_Price,Ratings,Product_Details,Product_Link,Shipping_From
https://cdn.dsmcdn.com/mnresize/400/-/ty1139/product/media/images/prod/PIM/20240117/16/c9768c8c-1e65-4c1d-9ace-bc58cd0cafc6/1_org_zoom.jpg,Trendyol Collection بلوزة منسوجة بدون أكمام برقبة دائرية باللون الأخضر TWOAW23BZ00559,"20,40
SAR","50,99",N/A,اللون: أخضر | نوع النسيج: بولي فيسكوز | القصة: ضيق | المناسبة: للعمل | الحزام: مربوط | تفاصيل الاستدامة: لا | نوع الكم: كم قياسي | الجيب: بدون جيوب | نوع القماش: النسيج | نوع المنتج: مستقيم | المجموعة: رمضان | النمط: سادة | الشخصية: مكتب | الستايل: بيسك | الموسم: صيف | الخامة: مزيج البوليستر | الياقة: ياقة دائرية | الطول: عادي | طول الكم: بلا أكمام | العمر: جميع الفئات العمرية | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/trendyol-collection/green-crew-neck-sleeveless-woven-blouse-twoaw23bz00559-p-772473950?boutiqueId=681840&merchantId=968,Saudi Arabia
https://cdn.dsmcdn.com/mnresize/400/-/ty1188/product/media/images/prod/PIM/20240301/18/594efe2b-6740-4da4-9ae0-e7a6abd36a8b/1_org_zoom.jpg,Trendyol Collection بلوزة منسوجة من القماش القطني باللون الأزرق مزدوجة الصدر TWOSS24BZ00345,"23,49
SAR","46,99",4.4,اللون: أزرق | الشخصية: رائع ومريح | نوع القماش: النسيج | النمط: سادة | نوع الكم: كم منفوخ | الحزام: بدون حزام | البطانة: غير مبطن | نوع المنتج: مستقيم | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/trendyol-collection/blue-double-breasted-lacing-detailed-seersucker-fabric-woven-blouse-twoss24bz00345-p-787822324?boutiqueId=48&merchantId=968,Saudi Arabia
https://cdn.dsmcdn.com/mnresize/400/-/ty1654/product/media/images/prod/PIM/20250327/15/8b5c5001-8c82-4745-964d-08c08e26c082/1_org_zoom.jpg,Trendyol Collection بلوزة منسوجة بدون أكمام بياقة دائرية باللون البيج TWOAW23BZ00559,"29,70
SAR","65,99",4.1,اللون: بيج | الخامة: مزيج البوليستر | النمط: سادة | طول الكم: بلا أكمام | المجموعة: رمضان | الحزام: مربوط | الموسم: صيف | الياقة: ياقة دائرية | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/trendyol-collection/beige-crew-neck-sleeveless-woven-blouse-twoaw23bz00559-p-772474157?boutiqueId=651724&merchantId=968,Saudi Arabia
https://cdn.dsmcdn.com/mnresize/400/-/ty1138/product/media/images/prod/PIM/20240117/06/a5d8a930-f21f-4234-80f2-4e9db58b06d2/1_org_zoom.jpg,Trendyol Collection بلوزة منسوجة بتفاصيل كشكش وربطة عنق أرجوانية TWOSS20BZ0351,"22,00
SAR","54,99",4.1,اللون: أرجواني | الطول: عادي | الجيب: بدون جيوب | المناسبة: كاجوال | طول الكم: قصيرة | القصة: مقاس عادي | نوع المنتج: مستقيم | الموسم: صيف | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/trendyol-collection/purple-frill-and-tie-detailed-woven-blouse-twoss20bz0351-p-772515061?boutiqueId=651724&merchantId=968,N/A
https://cdn.dsmcdn.com/mnresize/400/-/ty1188/product/media/images/prod/PIM/20240301/18/a78527fd-5738-4565-aa79-b192f272346b/1_org_zoom.jpg,TRENDYOL MODEST قميص منسوج من القطن بتفاصيل ربطة خلفية حجرية TCTSS24UK00020,"36,84
SAR","66,99",4.1,اللون: بيج | المجموعة: أزياء محتشمة | نوع الكم: كتف مكشوف | الخامة: مزيج البوليستر | العمر: جميع الفئات العمرية | الياقة: ياقة واقفة | طول الكم: طويلة | تفاصيل الاستدامة: لا | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/trendyol-modest/stone-back-tie-detailed-cotton-woven-shirt-tctss24uk00020-p-786373975?boutiqueId=48&merchantId=968,Saudi Arabia
https://cdn.dsmcdn.com/mnresize/400/-/ty1164/product/media/images/prod/PIM/20240209/14/9297ec35-1dd0-4283-93ec-b929e9a8ba5b/1_org_zoom.jpg,"Trendyol Collection بلوزة من فرو المنك بدون حمالات - منسوجة، مناسبة، TWOSS24BZ00348","19,99
SAR","39,99",4.2,اللون: بيج | طول الكم: بلا أكمام | الطول: عادي | الياقة: بدون حمالات | القصة: ضيق | نوع القماش: النسيج | الموسم: صيف | نوع النسيج: بولي فيسكوز | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/trendyol-collection/strapless-mink-draped-blouse-woven-fitted-twoss24bz00348-p-788669226?boutiqueId=48&merchantId=968,Saudi Arabia
https://cdn.dsmcdn.com/mnresize/400/-/ty1182/product/media/images/prod/PIM/20240227/13/ede1fb7a-8067-45e5-bfa3-c2c299cc92e2/1_org_zoom.jpg,Happiness İstanbul بلوزة نسائية سوداء بياقة عالية وتصميم على شكل كثبان رملية تتجمع فوق الكتف FF00135,"33,75
SAR","56,25",4.4,اللون: أسود | تفاصيل المنتج: شيريد / رايات | النمط: سادة | المجموعة: بيسكس | محتويات العلبة: قطعة واحدة | الياقة: ياقة واقفة | نوع المنتج: مستقيم | المناسبة: كاجوال | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/happiness-istanbul/women-s-black-gather-detailed-high-collar-sandy-blouse-ff00135-p-760501571?boutiqueId=48&merchantId=968,Saudi Arabia
https://cdn.dsmcdn.com/mnresize/400/-/ty1164/product/media/images/prod/PIM/20240209/16/751e8a4a-766c-482e-97a6-9be16247baa8/1_org_zoom.jpg,Trendyol Collection بلوزة منسوجة برقبة قارب من إكرو TWOSS24BZ00353,"18,40
SAR","45,99",3.7,اللون: إيكرو | تقنية الطباعة أو التطريز: غير مطبوع | الكوب: غير مبطنة | الستايل: بيسك | الشخصية: فاشن فورورد | العمر: جميع الفئات العمرية | البطانة: غير مبطن | المجموعة: رمضان | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/trendyol-collection/ecru-boat-neck-fitted-woven-blouse-twoss24bz00353-p-788665817?boutiqueId=48&merchantId=968,Saudi Arabia
https://cdn.dsmcdn.com/sfint/production/images/trendyol-placeholder_1740990210512.png,Trendyol Collection بوستير منسوج للجسم باللون الأبيض العروس TPRSS24BZ00008,"24,75
SAR","54,99",4.4,اللون: أبيض | نوع القماش: النسيج | طول الكم: بلا أكمام | الستايل: بيسك | الياقة: بدون حمالات | الشخصية: فاشن فورورد | نوع الاغلاق: بدون إغلاق | محتويات العلبة: قطعة واحدة | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/trendyol-collection/bridal-white-body-sitting-woven-bustier-tprss24bz00008-p-782435588?boutiqueId=48&merchantId=968,Saudi Arabia
https://cdn.dsmcdn.com/sfint/production/images/trendyol-placeholder_1740990210512.png,Lovelyİstanbul بلوزة منسوجة بأكمام بالونية باللون الأرجواني LDP0036,"76,25
SAR","108,93",4.4,اللون: أرجواني | نوع الكم: كم منفوخ | البطانة: غير مبطن | القصة: مقاس عادي | الستايل: تنورة منفوشة | الجيب: بدون جيوب | المناسبة: كاجوال | نوع المنتج: مستقيم | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات). | يُباع بواسطة  Lovely İstanbul.,https://www.trendyol.com/ar/lovelyistanbul/balloon-sleeves-patterned-woven-blouse-purple-ldp0036-p-901679321?boutiqueId=61&merchantId=104720,N/A
